line_number	line	class_level1	class_level2	class_level3
1	manum anani	Gospel Lections	Gospel of John	no_level3
2	et il	Gospel Lections	Gospel of John	no_level3
3	nostrorum hoc crat in principio	Gospel Lections	Gospel of John	no_level3
4	apud deum hec omnia per ipsissimus super	Gospel Lections	Gospel of John	no_level3
5	sil sunt et me ipso solsi	Gospel Lections	Gospel of John	no_level3
6	quod factum fuit in ipso ille	Gospel Lections	Gospel of John	no_level3
7	iusta erat sire hominum li sir misericors	Gospel Lections	Gospel of John	no_level3
8	nobis success etore sils	Gospel Lections	Gospel of John	no_level3
9	prohenderunt fus homo nullus a deo	Gospel Lections	Gospel of John	no_level3
10	silui nomen eras johannis hic uenit	Gospel Lections	Gospel of John	no_level3
11	in testimonium ut testimonium per	Gospel Lections	Gospel of John	no_level3
12	haberes de summens in omnes sollberhil	Gospel Lections	Gospel of John	no_level3
13	psalt ill non stilleillesl	Gospel Lections	Gospel of John	no_level3
14	ill perhiberllisi	Gospel Lections	Gospel of John	no_level3
15	lire versil que illuminssit omnem hoc	Gospel Lections	Gospel of John	no_level3
16	mem uncinctrin in hill illos	Gospel Lections	Gospel of John	no_level3
17	millosll per ipsill	Gospel Lections	Gospel of John	no_level3
18	saltus est sol mundus eum non signo	Gospel Lections	Gospel of John	no_level3
19	xit in propria uenit colleum non	Gospel Lections	Gospel of John	no_level3
20	reperunt quoque sol autem receperunt	Gospel Lections	Gospel of John	no_level3
21	dedit eis portellillos ollis	Gospel Lections	Gospel of John	no_level3
22	res stabunt in nomini suis	Gospel Lections	Gospel of John	no_level3
23	capilli nolligillh sello	Gospel Lections	Gospel of John	no_level3
24	luntatem sermons nousque sermoinsill viri	Gospel Lections	Gospel of John	no_level3
25	soll bilin sillo soli	Gospel Lections	Gospel of John	no_level3
26	gentium a patre plus numerum gratulcis et nostisil	Gospel Lections	Gospel of John	no_level3
27	cogracias secundum	Gospel Lections	Gospel of John	no_level3
28	est an	Gospel Lections	Gospel of John	no_level3
29	commem desponsatam nostro einsi	Gospel Lections	Gospel of John	no_level3
30	terras josephanus de domo dauid nomen non	Gospel Lections	Gospel of John	no_level3
31	gemmis maria eius ingressus angelsus super	Gospel Lections	Gospel of John	no_level3
32	suam dicit aus ma gressi plena	Gospel Lections	Gospel of John	no_level3
33	dominus tecum andicta tum misericors	Gospel Lections	Gospel of John	no_level3
34	lieribus sus sum audisses tollesl	Gospel Lections	Gospel of John	no_level3
35	in sermone eius et sogitable que illis	Gospel Lections	Gospel of John	no_level3
36	illect istassillos all alligellisl	Gospel Lections	Gospel of John	no_level3
37	misiss infra mille molligilli	Gospel Lections	Gospel of John	no_level3
38	apud domini ess nostrgo concipi	Gospel Lections	Gospel of John	no_level3
39	se sont paries dabunt uocbis nomen	Gospel Lections	Gospel of John	no_level3
40	suis libellum nis collite malignanslibus	Gospel Lections	Gospel of John	no_level3
41	illum nosilabitur et dedit illis	Gospel Lections	Gospel of John	no_level3
42	sollem gallibus passer sol trigilli	Gospel Lections	Gospel of John	no_level3
43	bit in illob illi	Gospel Lections	Gospel of John	no_level3
44	incius non scrit timens sireit autem ma	Gospel Lections	Gospel of John	no_level3
45	christi ad angelum quomodomisit moy	Gospel Lections	Gospel of John	no_level3
46	quomoquium meum non cognosco et	Gospel Lections	Gospel of John	no_level3
47	respondens angelsus operl spiritibus	Gospel Lections	Gospel of John	no_level3
48	sanctus superuc inf montes st virtus sal	Gospel Lections	Gospel of John	no_level3
49	commobumbrobis tibi sedesque quod	Gospel Lections	Gospel of John	no_level3
50	noctur ce te sanctum vocabitur nonus	Gospel Lections	Gospel of John	no_level3
51	dei et colle chyssoboth cognosilia	Gospel Lections	Gospel of John	no_level3
52	ipsa concepi filiorum mes senectut sua	Gospel Lections	Gospel of John	no_level3
53	inc mensis est supertus ill quis	Gospel Lections	Gospel of John	no_level3
54	qui non commiserpossibiles super	Gospel Lections	Gospel of John	no_level3
55	deum omnes uerbum pre sollem	Gospel Lections	Gospel of John	no_level3
56	ria esse ancilla domini si nihil	Gospel Lections	Gospel of John	no_level3
57	signum non	Gospel Lections	Gospel of Matthew	no_level3
58	ancill in	Gospel Lections	Gospel of Matthew	no_level3
59	de in diebis herodis regis magi	Gospel Lections	Gospel of Matthew	no_level3
60	ab oriente venerunt iherosollum	Gospel Lections	Gospel of Matthew	no_level3
61	dicentes ubi elle qui n allislol	Gospel Lections	Gospel of Matthew	no_level3
62	omnium mons simil illi	Gospel Lections	Gospel of Matthew	no_level3
63	oriens ce ill assi	Gospel Lections	Gospel of Matthew	no_level3
64	bleuans alligabasl	Gospel Lections	Gospel of Matthew	no_level3
65	sol omnis iherosolyma sum pellio et so	Gospel Lections	Gospel of Matthew	no_level3
66	gregans omnes principeslabili	Gospel Lections	Gospel of Matthew	no_level3
67	et sembls populle nobis	Gospel Lections	Gospel of Matthew	no_level3
68	vol reprill	Gospel Lections	Gospel of Matthew	no_level3
69	per prophetam et tu beathanδem terra iuda	Gospel Lections	Gospel of Matthew	no_level3
70	in vehem ille plus cin sculpilli	Gospel Lections	Gospel of Matthew	no_level3
71	nullob in press ipsi	Gospel Lections	Gospel of Matthew	no_level3
72	bis mea ex te eum crie direquire	Gospel Lections	Gospel of Matthew	no_level3
73	gent populum inclin ville collehe	Gospel Lections	Gospel of Matthew	no_level3
74	prodessim nosillgo olligellis	Gospel Lections	Gospel of Matthew	no_level3
75	dicit abscis stirpis stille que apppil	Gospel Lections	Gospel of Matthew	no_level3
76	ruit cil et mittens suas moychidem	Gospel Lections	Gospel of Matthew	no_level3
77	dreit ille et miserterrogate diligenter	Gospel Lections	Gospel of Matthew	no_level3
78	puero et suum inveneritis suum rem	Gospel Lections	Gospel of Matthew	no_level3
79	bilate michi uerunt et ego ueremelli	Gospel Lections	Gospel of Matthew	no_level3
80	eum quis cum audissent regem abie	Gospel Lections	Gospel of Matthew	no_level3
81	nunt et sance stella quam moderant	Gospel Lections	Gospel of Matthew	no_level3
82	in oriente ante sedebat eos inique omnis	Gospel Lections	Gospel of Matthew	no_level3
83	veniens staret supra dominus longissima	Gospel Lections	Gospel of Matthew	no_level3
84	puer moendans alligilli	Gospel Lections	Gospel of Matthew	no_level3
85	sunt gaudio magnoille et	Gospel Lections	Gospel of Matthew	no_level3
