line_number	line	class_level1	class_level2	class_level3
1	principio erat uer	Gospel Lections	Gospel of John	no_level3
2	bum et uerbumerat	Gospel Lections	Gospel of John	no_level3
3	apud deum et deus eratu	Gospel Lections	Gospel of John	no_level3
4	bum hoc erat in principio	Gospel Lections	Gospel of John	no_level3
5	apud deum omnia par ipsum	Gospel Lections	Gospel of John	no_level3
6	facta sunt et sine ipso tam	Gospel Lections	Gospel of John	no_level3
7	tum est nichil quod factum	Gospel Lections	Gospel of John	no_level3
8	est in ipso uiti erat in uita	Gospel Lections	Gospel of John	no_level3
9	esant lux hominum et lux in	Gospel Lections	Gospel of John	no_level3
10	tenebris lucet et tenebre ea	Gospel Lections	Gospel of John	no_level3
11	non comprehenderunt fuit	Gospel Lections	Gospel of John	no_level3
12	homo missus a dauid tui non	Gospel Lections	Gospel of John	no_level3
13	men erat johannes sicut ue	Gospel Lections	Gospel of John	no_level3
14	nuit in testimonium ut festi	Gospel Lections	Gospel of John	no_level3
15	monum perhiberent de lum	Gospel Lections	Gospel of John	no_level3
16	ne uerunt omnes crederent per	Gospel Lections	Gospel of John	no_level3
17	illorum non estoit mille lux sed	Gospel Lections	Gospel of John	no_level3
18	uant testimonium perhiberet	Gospel Lections	Gospel of John	no_level3
19	de lumine erat lux vera	Gospel Lections	Gospel of John	no_level3
20	que illuminat omnem	Gospel Lections	Gospel of John	no_level3
21	hominem venientem in	Gospel Lections	Gospel of John	no_level3
22	hunc mundum in manum	Gospel Lections	Gospel of John	no_level3
23	qui estoit et mundus psalmus ipsum	Gospel Lections	Gospel of John	no_level3
24	tactus est et mundus eum	Gospel Lections	Gospel of John	no_level3
25	non cognouit in propria	Gospel Lections	Gospel of John	no_level3
26	uenit tibi sui eum non rece	Gospel Lections	Gospel of John	no_level3
27	perunt quotquot autem	Gospel Lections	Gospel of John	no_level3
28	receperunt eum dedit eis psalmus	Gospel Lections	Gospel of John	no_level3
29	testatem filios dei tieri his	Gospel Lections	Gospel of John	no_level3
30	qui credunt in nomen eius	Gospel Lections	Gospel of John	no_level3
31	qui non ex languinos sicque	Gospel Lections	Gospel of John	no_level3
32	ex uoluntate carnis neque	Gospel Lections	Gospel of John	no_level3
33	ex voluntate viri sed ex	Gospel Lections	Gospel of John	no_level3
34	deo nati sunt et uerbum illa	Gospel Lections	Gospel of John	no_level3
35	ro factum est et habitauit in	Gospel Lections	Gospel of John	no_level3
36	nobis et iudimus gloria	Gospel Lections	Gospel of John	no_level3
37	eius gloriam quasi unigen	Gospel Lections	Gospel of John	no_level3
38	nunti a patre plenum gratie	Gospel Lections	Gospel of John	no_level3
39	et ueritatis deo gratias	Gospel Lections	Gospel of John	no_level3
40	p eiuvangelicta dicta deleantur	Gospel Lections	Gospel of John	no_level3
41	nostra delicta a men sit no	Gospel Lections	Gospel of John	no_level3
42	men domini benedictum ex hoc nunc	Gospel Lections	Gospel of John	no_level3
43	et usque in seculum oremus	Gospel Lections	Gospel of John	no_level3
44	protector in te sperantium	Gospel Lections	Gospel of John	no_level3
45	deus sue quo nichil	Gospel Lections	Gospel of John	no_level3
46	est validum nichil sanctum	Gospel Lections	Gospel of John	no_level3
47	multiplica super nos misericordiam	Gospel Lections	Gospel of John	no_level3
48	tuam ut te rectore te duce	Gospel Lections	Gospel of John	no_level3
49	sicut transeamus psalmus bona tem	Gospel Lections	Gospel of John	no_level3
50	poralia ut non amictamus	Gospel Lections	Gospel of John	no_level3
51	eterna psalmus ipsistim dominum	Gospel Lections	Gospel of John	no_level3
52	nostrum aδ menſ secundum luca	Gospel Lections	Gospel of John	no_level3
53	millo tempore mis	Gospel Lections	Gospel of Luke	no_level3
54	suis est angelus gabri	Gospel Lections	Gospel of Luke	no_level3
55	el a deo civitatem gulisee qui	Gospel Lections	Gospel of Luke	no_level3
56	nomen nazareth ad virgine	Gospel Lections	Gospel of Luke	no_level3
57	desponsatam virosui nomine	Gospel Lections	Gospel of Luke	no_level3
58	ent ioseph de domo dauid	Gospel Lections	Gospel of Luke	no_level3
59	et nomen virguis malitia	Gospel Lections	Gospel of Luke	no_level3
60	et ingressus angelus ad	Gospel Lections	Gospel of Luke	no_level3
61	coram domino aue gratia ple	Gospel Lections	Gospel of Luke	no_level3
62	nia dominus tecum benedic	Gospel Lections	Gospel of Luke	no_level3
63	cil tu in mulieribus que	Gospel Lections	Gospel of Luke	no_level3
64	cum audisset turbata est	Gospel Lections	Gospel of Luke	no_level3
65	in sermone eius et cogitu	Gospel Lections	Gospel of Luke	no_level3
66	bat qualis esset ista saluta	Gospel Lections	Gospel of Luke	no_level3
67	tio et ait angelus ei ne	Gospel Lections	Gospel of Luke	no_level3
68	timeas maria invenisti	Gospel Lections	Gospel of Luke	no_level3
69	gratiam apud dominum ecce	Gospel Lections	Gospel of Luke	no_level3
70	concipies in utero et paries	Gospel Lections	Gospel of Luke	no_level3
71	filium et uoceabitur nomen	Gospel Lections	Gospel of Luke	no_level3
72	eius in ihesum et sic erit miseria	Gospel Lections	Gospel of Luke	no_level3
73	magnus et filius altissimo	Gospel Lections	Gospel of Luke	no_level3
