line_number	line	class_level1	class_level2	class_level3
1	johanne gloriam tibi domine	Gospel Lections	no_level2	no_level3
2	non principio erat	Gospel Lections	Gospel of John	no_level3
3	uerbum et uer	Gospel Lections	Gospel of John	no_level3
4	bum erat apud	Gospel Lections	Gospel of John	no_level3
5	praevium et deus eras	Gospel Lections	Gospel of John	no_level3
6	verbum ut erat in principio	Gospel Lections	Gospel of John	no_level3
7	apud deum eiusima per ipsum	Gospel Lections	Gospel of John	no_level3
8	tacta sunt et sine ipotactum	Gospel Lections	Gospel of John	no_level3
9	est nichil quod tactum est in	Gospel Lections	Gospel of John	no_level3
10	ipso vita erat et uita erat luxi	Gospel Lections	Gospel of John	no_level3
11	hon et lux in tenebris lucet	Gospel Lections	Gospel of John	no_level3
12	et tenebre eum non conprehe	Gospel Lections	Gospel of John	no_level3
13	bellant constit homo missus a	Gospel Lections	Gospel of John	no_level3
14	deo cui nomen erat johanes	Gospel Lections	Gospel of John	no_level3
15	dic uenit in testimonium	Gospel Lections	Gospel of John	no_level3
16	uant testimonium perhiberet de	Gospel Lections	Gospel of John	no_level3
17	lumine ut omnes crederent per	Gospel Lections	Gospel of John	no_level3
18	illum non erat ille lux sed ut	Gospel Lections	Gospel of John	no_level3
19	testimonium perhiberet de lumine	Gospel Lections	Gospel of John	no_level3
20	erat lux uera que illuminat	Gospel Lections	Gospel of John	no_level3
21	omnem hominem novemen	Gospel Lections	Gospel of John	no_level3
22	tem in hunc mundum in	Gospel Lections	Gospel of John	no_level3
23	mundo erat et mundus per	Gospel Lections	Gospel of John	no_level3
24	ipsum factus est et mundus eum	Gospel Lections	Gospel of John	no_level3
25	non cognouit in propria be	Gospel Lections	Gospel of John	no_level3
26	nit et sui eum non receperunt	Gospel Lections	Gospel of John	no_level3
27	quotquot autem receperunt	Gospel Lections	Gospel of John	no_level3
28	beatiere hiis qui credunt in	Gospel Lections	Gospel of John	no_level3
29	eum dedit eis potestatem filios	Gospel Lections	Gospel of John	no_level3
30	nomine eius qui non ex	Gospel Lections	Gospel of John	no_level3
31	sanguinibus neque ex volup	Gospel Lections	Gospel of John	no_level3
32	tate carnis neque ex uoluntate	Gospel Lections	Gospel of John	no_level3
33	viri sed ex deo nati sunt et	Gospel Lections	Gospel of John	no_level3
34	uerbum saro factum est et	Gospel Lections	Gospel of John	no_level3
35	habitauit in nobis et iudi	Gospel Lections	Gospel of John	no_level3
36	mus gloriam eius gloria	Gospel Lections	Gospel of John	no_level3
37	quasi unigeniti a patre parle	Gospel Lections	Gospel of John	no_level3
38	num gracie et ueritatis	Gospel Lections	Gospel of John	no_level3
39	ceo gracias sit nomen	Gospel Lections	Gospel of John	no_level3
40	omin benedictum lx ex hoc nunc	Gospel Lections	Gospel of John	no_level3
41	et usque in seculum oremus oratio	Gospel Lections	Gospel of John	no_level3
42	rotector in te sperantium	Gospel Lections	Gospel of John	no_level3
43	deus line quo nichil	Gospel Lections	Gospel of John	no_level3
44	est validum nichil sanctum	Gospel Lections	Gospel of John	no_level3
45	in illo tempore missus est	Gospel Lections	Gospel of Luke	no_level3
46	nomen virginis maria	Gospel Lections	Gospel of Luke	no_level3
47	ingressus angelus ad eam	Gospel Lections	Gospel of Luke	no_level3
48	orant ave graciam plena dominus	Gospel Lections	Gospel of Luke	no_level3
49	tecum benedicta tu in muli	Gospel Lections	Gospel of Luke	no_level3
50	eribus et benedictus fructus	Gospel Lections	Gospel of Luke	no_level3
51	uentris tui que cum audis	Gospel Lections	Gospel of Luke	no_level3
52	let turbata est in sermone et	Gospel Lections	Gospel of Luke	no_level3
53	viis et cogitabat qualis et	Gospel Lections	Gospel of Luke	no_level3
54	ista salutarcio et ait ange	Gospel Lections	Gospel of Luke	no_level3
55	lus ei retineas maria in	Gospel Lections	Gospel of Luke	no_level3
56	venisti enim graciam ad	Gospel Lections	Gospel of Luke	no_level3
57	dominum ecce concipies in utero	Gospel Lections	Gospel of Luke	no_level3
58	et paries filium et uoceabis	Gospel Lections	Gospel of Luke	no_level3
59	nomen eius in hum hie erit	Gospel Lections	Gospel of Luke	no_level3
60	magnus et filius altissimi	Gospel Lections	Gospel of Luke	no_level3
61	uocabitur et dabit illi dominus	Gospel Lections	Gospel of Luke	no_level3
62	deus sedem dauid patris eius	Gospel Lections	Gospel of Luke	no_level3
63	et regnabit in domino jacob	Gospel Lections	Gospel of Luke	no_level3
64	in eternum et regni eius non	Gospel Lections	Gospel of Luke	no_level3
65	eruit time dixit autem maria	Gospel Lections	Gospel of Luke	no_level3
66	ad angelum quomodo fiet	Gospel Lections	Gospel of Luke	no_level3
67	stud quoniam uirum non cognos	Gospel Lections	Gospel of Luke	no_level3
68	deo et respondens angelus	Gospel Lections	Gospel of Luke	no_level3
69	dixit et spiritus sanctus super	Gospel Lections	Gospel of Luke	no_level3
70	semet in te et uirtus altis	Gospel Lections	Gospel of Luke	no_level3
71	sum obumbrabit tibi ideo	Gospel Lections	Gospel of Luke	no_level3
72	que et quod nascetur ex te sanctum	Gospel Lections	Gospel of Luke	no_level3
