line_number	line	class_level1	class_level2	class_level3
1	omne l abia mea aperi	Hours of the Virgin	Matins	Invocation
2	es et os meum anni	Hours of the Virgin	Matins	Invocation
3	ciabitur laudem tuam	Hours of the Virgin	Matins	Invocation
4	meum intende	Hours of the Virgin	Matins	Invocation
5	dierum me festina	Hours of the Virgin	Matins	Invocation
6	et spiritui sancto sicut erat in princi	Hours of the Virgin	Matins	Invocation
7	pio et minc et semper et in secula secum	Hours of the Virgin	Matins	Invocation
8	lorum amen assam iniquitator lue maria	Hours of the Virgin	Matins	Invitatory
9	gracia plena dominus tecum aue maria psalmus	Hours of the Virgin	Matins	Invitatory
10	enite exultemus domino iubile	Hours of the Virgin	Matins	Invitatory
11	mis deo salutari nostro preoccupe	Hours of the Virgin	Matins	Invitatory
12	mus faciem eius in confessione et in	Hours of the Virgin	Matins	Invitatory
13	psalmis iubilemus ei aue maria gra	Hours of the Virgin	Matins	Invitatory
14	quoniam deus magnus dominus	Hours of the Virgin	Matins	Invitatory
15	et rex magnus super omnes deos quoniam	Hours of the Virgin	Matins	Invitatory
16	non repellet dominus plebem suam	Hours of the Virgin	Matins	Invitatory
17	quia in manu eius sunt omnes fines	Hours of the Virgin	Matins	Invitatory
18	terre et altitudines montium ipse con	Hours of the Virgin	Matins	Invitatory
19	spicit dominus tecum uoniam ipsis	Hours of the Virgin	Matins	Invitatory
20	meus in adiutorum	Hours of the Virgin	Matins	Invitatory
21	comme ad adiuvant	Hours of the Virgin	Matins	Invitatory
22	loria patri et filio	Hours of the Virgin	Matins	Invitatory
23	est mare et ipse fecit illud et aridam funda	Hours of the Virgin	Matins	Invitatory
24	uerunt manus eius venite adoremus et	Hours of the Virgin	Matins	Invitatory
25	procidamus ante deum ploremus coram	Hours of the Virgin	Matins	Invitatory
26	domino qui fecit nos quia ipse est dominus	Hours of the Virgin	Matins	Invitatory
27	deus noster nos autem populus eius et	Hours of the Virgin	Matins	Invitatory
28	oues pascue eius aue maria gracia plena	Hours of the Virgin	Matins	Invitatory
29	jodie si uocem eius audieritis nolite	Hours of the Virgin	Matins	Invitatory
30	obdurare corda uestra sicut in exacerbatione	Hours of the Virgin	Matins	Invitatory
31	secundum diem temptationis in deserto	Hours of the Virgin	Matins	Invitatory
32	ubi temptauerunt me patres uestri pro	Hours of the Virgin	Matins	Invitatory
33	bauerunt et uiderunt opera mea dominus ter	Hours of the Virgin	Matins	Invitatory
34	quadraginta annis proximus fui genere	Hours of the Virgin	Matins	Invitatory
35	nerationem huc et dixi semper hii errant	Hours of the Virgin	Matins	Invitatory
36	corde ipsi vero non cognouerunt uias	Hours of the Virgin	Matins	Invitatory
37	meas quibus iuraui in ira mea si in	Hours of the Virgin	Matins	Invitatory
38	troibunt in requiem meam aue michi gratiam	Hours of the Virgin	Matins	Invitatory
39	loria patri et filio et spiritui sancto	Hours of the Virgin	Matins	Invitatory
40	dominus tecum ave michi gracia plena dominus tecum	Hours of the Virgin	Matins	Invitatory
41	rem terra ponthus etheraphymmus	Hours of the Virgin	Matins	Hymn
42	colunt adorant predicant trina	Hours of the Virgin	Matins	Hymn
43	regentem machinam claustrum marie ba	Hours of the Virgin	Matins	Hymn
44	volat qui luna sol et omnia deferuntur	Hours of the Virgin	Matins	Hymn
45	per tempora perfusa celi gratia gestatur	Hours of the Virgin	Matins	Hymn
46	puelle viscera leata mater munere	Hours of the Virgin	Matins	Hymn
47	cuius supermus artifex mundum pu	Hours of the Virgin	Matins	Hymn
48	gillo continens ventris sub archai dauid	Hours of the Virgin	Matins	Hymn
49	sus est beata celi muncio fecunda sancto	Hours of the Virgin	Matins	Hymn
50	spiritu desideratus gentibus civis per	Hours of the Virgin	Matins	Hymn
51	alium fusus est laria mater gratre	Hours of the Virgin	Matins	Hymn
52	mater misericordie tu nos ab hoste pro	Hours of the Virgin	Matins	Hymn
53	tege et hora mortis suscipe loria tibi	Hours of the Virgin	Matins	Hymn
54	domine qui natus es de virgine am pas	Hours of the Virgin	Matins	Hymn
55	tre et sancto spiritu in sempiterna secum	Hours of the Virgin	Matins	Hymn
56	la amen ann senedicta tu psalmus	Hours of the Virgin	Matins	Psalms
57	universa terra quoniam elevata est	Hours of the Virgin	Matins	Psalms
58	magnificentia tua super celos ore	Hours of the Virgin	Matins	Psalms
59	infantium et lactencium perfecisti l au	Hours of the Virgin	Matins	Psalms
60	dem propter ministros tuos ut destruas	Hours of the Virgin	Matins	Psalms
61	emme dominus noster quia	Hours of the Virgin	Matins	Psalms
62	admirabile est nomen tuum in	Hours of the Virgin	Matins	Psalms
63	miserimicium et ultorem quoniam vide	Hours of the Virgin	Matins	Psalms
64	bo caelos tuos et opera digitorum tuorum	Hours of the Virgin	Matins	Psalms
65	sumam et stellas que tu fundasti	Hours of the Virgin	Matins	Psalms
66	vivo est homo quod memor es eius	Hours of the Virgin	Matins	Psalms
67	aut filius hominis quoniam visitas	Hours of the Virgin	Matins	Psalms
68	eum ſimuisti eum paulominus	Hours of the Virgin	Matins	Psalms
69	ab angelis gloriam et honore coronasti	Hours of the Virgin	Matins	Psalms
70	eum et constituisti eum super opera	Hours of the Virgin	Matins	Psalms
71	manuum tuarum inia subie	Hours of the Virgin	Matins	Psalms
72	cisti sub pedibus eius et oues et boves	Hours of the Virgin	Matins	Psalms
73	universas insuper et pecora campis	Hours of the Virgin	Matins	Psalms
74	volucres celi et pisces maris qui	Hours of the Virgin	Matins	Psalms
75	perambulant semittas maris domine	Hours of the Virgin	Matins	Psalms
76	dominus noster quamadmirabile est	Hours of the Virgin	Matins	Psalms
77	nomen tuum in universa terra	Hours of the Virgin	Matins	Psalms
78	gloria patri et filio ſicut erat	Hours of the Virgin	Matins	Psalms
79	an benedicta tu in mulieribus et bene	Hours of the Virgin	Matins	Psalms
80	dictus fructus ventris tui a sicut mirra	Hours of the Virgin	Matins	Psalms
81	eli enarrant gloriam psalmus	Hours of the Virgin	Matins	Psalms
82	dei et opera manuum eius anni	Hours of the Virgin	Matins	Psalms
83	ciat firmamentum dies diei eructant	Hours of the Virgin	Matins	Psalms
84	verbum et nox nocti modicant scientia	Hours of the Virgin	Matins	Psalms
85	quorum non audiantur voces eorum	Hours of the Virgin	Matins	Psalms
86	eorum et in fines orbis terre verga eorum	Hours of the Virgin	Matins	Psalms
87	et ipse tanquam sponsus procedens de	Hours of the Virgin	Matins	Psalms
88	thalamo suo vultavit ut gigas	Hours of the Virgin	Matins	Psalms
89	ad currendam viam a summo celo et	Hours of the Virgin	Matins	Psalms
90	gressio eius et occursus eius usque	Hours of the Virgin	Matins	Psalms
91	ad summum eius nec est qui se ab	Hours of the Virgin	Matins	Psalms
92	secondat a calore eius in ex domini in	Hours of the Virgin	Matins	Psalms
93	maculata convertens animas testi	Hours of the Virgin	Matins	Psalms
94	monium domini infidele sapientiam	Hours of the Virgin	Matins	Psalms
95	prestans parvulis custicie domini	Hours of the Virgin	Matins	Psalms
96	recte letificantes corda preceptum domini	Hours of the Virgin	Matins	Psalms
97	lucidum illuminans oculos miserimor	Hours of the Virgin	Matins	Psalms
98	domini sanctus permanet in seculum	Hours of the Virgin	Matins	Psalms
99	seculi iudicia domini vera iustificata	Hours of the Virgin	Matins	Psalms
100	con sunt loquele neque sermones	Hours of the Virgin	Matins	Psalms
101	in omnem terram exivit sonus	Hours of the Virgin	Matins	Psalms
102	in sole posuit tabernaculum suum	Hours of the Virgin	Matins	Psalms
103	in semet ipsa desiderabilia super aurum	Hours of the Virgin	Matins	Psalms
104	et lapidem preciosum multum et dulciora	Hours of the Virgin	Matins	Psalms
105	super mes et fauum tenii seruis tuis	Hours of the Virgin	Matins	Psalms
106	custodit ei in custodiendis illis retributio	Hours of the Virgin	Matins	Psalms
107	multa felicta quis intelligit ab occultis	Hours of the Virgin	Matins	Psalms
108	meis munda me domine et ab alienis	Hours of the Virgin	Matins	Psalms
109	parce servo tuo ai mei non fuerunt do	Hours of the Virgin	Matins	Psalms
110	miserismati tunc immaculatus ero et enim	Hours of the Virgin	Matins	Psalms
111	dabor a delicto maisonno et erunt ut	Hours of the Virgin	Matins	Psalms
112	complaceant eloquia oris mei et medio	Hours of the Virgin	Matins	Psalms
113	tatio cordis mei in conspectu tuo semper	Hours of the Virgin	Matins	Psalms
114	domine adiutor meus et redemptor me	Hours of the Virgin	Matins	Psalms
115	us gloria patri anz sicut mirra electa	Hours of the Virgin	Matins	Psalms
116	odorem dedisti suavitatis odoris sancta dei gratia	Hours of the Virgin	Matins	Psalms
117	intrix a ante thorum huius psalmus	Hours of the Virgin	Matins	Psalms
118	dimis est terra et plenitudo eius	Hours of the Virgin	Matins	Psalms
119	orbis terrarum et uniuersi qui	Hours of the Virgin	Matins	Psalms
120	habitant in eo uia ipse super maria	Hours of the Virgin	Matins	Psalms
121	fundauit eum et super flumina preperavit	Hours of the Virgin	Matins	Psalms
122	eum quis ascendet in montem domini	Hours of the Virgin	Matins	Psalms
123	aut quis stabit in loco sancto eius minimo	Hours of the Virgin	Matins	Psalms
124	cens manibus et mundo corde qui non	Hours of the Virgin	Matins	Psalms
125	accepit in vano animam suam nec iuravit	Hours of the Virgin	Matins	Psalms
126	in dolo proximo suo hunc accipient bene	Hours of the Virgin	Matins	Psalms
127	dictionem a domino et miserinam a deo salu	Hours of the Virgin	Matins	Psalms
128	tari suo hec est generatio querentium	Hours of the Virgin	Matins	Psalms
129	deum querentium faciem dei iacob	Hours of the Virgin	Matins	Psalms
130	tollite portas principes vestras et eleva	Hours of the Virgin	Matins	Psalms
131	miseremini porte eternales et introibit rex glorie	Hours of the Virgin	Matins	Psalms
132	quis est iste rex glorie dominus fortis	Hours of the Virgin	Matins	Psalms
133	et potens dominus potens in prelio si	Hours of the Virgin	Matins	Psalms
134	attollite portas principes vras et ele	Hours of the Virgin	Matins	Psalms
135	uamm porté eternales et introibit rex	Hours of the Virgin	Matins	Psalms
136	glorie uis est iste rex glorie domini	Hours of the Virgin	Matins	Psalms
137	virtutum ipse est rex glorie loria pri	Hours of the Virgin	Matins	Psalms
138	a ante thorum hujus virginis frequentate	Hours of the Virgin	Matins	Psalms
139	nobis dulcia cantica dragmins v difusa est	Hours of the Virgin	Matins	Psalms
140	gratia in labiis tuis tr proptera benedixit	Hours of the Virgin	Matins	Psalms
141	te deus in eternum pater noster precibus et	Hours of the Virgin	Matins	Psalms
142	meritis beatissime virgins marie et omnum	Hours of the Virgin	Matins	Psalms
143	sanctorum perducat nos dominus in repus	Hours of the Virgin	Matins	Psalms
144	ad regna celorum jube domine benedicere	Hours of the Virgin	Matins	Psalms
145	ios cum prole pia benedicat virgo maria	Hours of the Virgin	Matins	Psalms
146	amen rectio primas	Hours of the Virgin	Matins	Psalms
147	r omnibus requiem quesui et	Hours of the Virgin	Matins	Lessons
148	cum hereditate domini morabor	Hours of the Virgin	Matins	Lessons
149	tunc precepit et dixit michi creator	Hours of the Virgin	Matins	Lessons
150	omnium qui creavit me requievit in	Hours of the Virgin	Matins	Lessons
151	tabernaculo meo et dixit michi in	Hours of the Virgin	Matins	Lessons
152	iacob in habita et in israel hereditare	Hours of the Virgin	Matins	Lessons
153	et in electis meis mitte vadices cu	Hours of the Virgin	Matins	Lessons
154	autem domine miserere nostri deo	Hours of the Virgin	Matins	Lessons
155	gratiours xx sancta et maculata vir	Hours of the Virgin	Matins	Lessons
156	gignitas quibus te laudibus referam nescio	Hours of the Virgin	Matins	Lessons
157	quia quem celi capere non poterant tuo	Hours of the Virgin	Matins	Lessons
158	gremo contulisti v senedicta tu in inni	Hours of the Virgin	Matins	Lessons
159	lieribus et benedictus fructus ventris tui	Hours of the Virgin	Matins	Lessons
160	quia quem jube domine benedicere v	Hours of the Virgin	Matins	Lessons
161	maria virgo virginum intercedat pro non	Hours of the Virgin	Matins	Lessons
162	bis ad dominum amen lectio secundum	Hours of the Virgin	Matins	Lessons
163	litter requievi et in iherusalem porte	Hours of the Virgin	Matins	Lessons
164	stas mea et radicaui in populo	Hours of the Virgin	Matins	Lessons
165	honorificato et in partes dei mei adhe	Hours of the Virgin	Matins	Lessons
166	reditas illius et in plenitudine sanctorum	Hours of the Virgin	Matins	Lessons
167	detentio mea tu autem domine	Hours of the Virgin	Matins	Lessons
168	miserere nostri deo gratias rem	Hours of the Virgin	Matins	Lessons
169	beata es virgo maria que dominum por	Hours of the Virgin	Matins	Lessons
170	tasti creatorem mundi genusti qui te	Hours of the Virgin	Matins	Lessons
171	fecit et in eternum permanes virgo unus	Hours of the Virgin	Matins	Lessons
172	ave maria gracia plena dominus tecum	Hours of the Virgin	Matins	Lessons
