line_number	line	class_level1	class_level2	class_level3
1	principio eratque	Gospel Lections	Gospel of John	no_level3
2	verbum et verbum erat apud	Gospel Lections	Gospel of John	no_level3
3	deum et deus erat verbum	Gospel Lections	Gospel of John	no_level3
4	voc erat in principio apud	Gospel Lections	Gospel of John	no_level3
5	deum misericordia per ipsorum facta	Gospel Lections	Gospel of John	no_level3
6	sunt et sine ipso factum est	Gospel Lections	Gospel of John	no_level3
7	nichil quod factum est in ipso	Gospel Lections	Gospel of John	no_level3
8	vita erat et vita erat lux	Gospel Lections	Gospel of John	no_level3
9	hominum et lux in tenebris	Gospel Lections	Gospel of John	no_level3
10	licet et tenebre eam non	Gospel Lections	Gospel of John	no_level3
11	coprehenderunt fuit homo	Gospel Lections	Gospel of John	no_level3
12	missus a deo tuum nomen erat	Gospel Lections	Gospel of John	no_level3
13	johannes sicut venit in testi	Gospel Lections	Gospel of John	no_level3
14	montium ut testimonium parhi	Gospel Lections	Gospel of John	no_level3
15	rerent de lumine ut omnes	Gospel Lections	Gospel of John	no_level3
16	crederent per illum non erat	Gospel Lections	Gospel of John	no_level3
17	mille lux sequebant testimonium	Gospel Lections	Gospel of John	no_level3
18	perhiberet de l une frat lux	Gospel Lections	Gospel of John	no_level3
19	vera que illuminationem	Gospel Lections	Gospel of John	no_level3
20	hominem veniente in hunc	Gospel Lections	Gospel of John	no_level3
21	mundum in mundo erat	Gospel Lections	Gospel of John	no_level3
22	mundus per ipsum factus	Gospel Lections	Gospel of John	no_level3
23	et mundus eium non cogno	Gospel Lections	Gospel of John	no_level3
24	uit in propria venit et	Gospel Lections	Gospel of John	no_level3
25	sui eum non receperunt	Gospel Lections	Gospel of John	no_level3
26	quotquot autem receperunt	Gospel Lections	Gospel of John	no_level3
27	eum dedit eis potestatem	Gospel Lections	Gospel of John	no_level3
28	filios dei fieri his qui cre	Gospel Lections	Gospel of John	no_level3
29	dunt in nomine eius et	Gospel Lections	Gospel of John	no_level3
30	non ex sanguinibus neque	Gospel Lections	Gospel of John	no_level3
31	ex voluptate carnis neque	Gospel Lections	Gospel of John	no_level3
32	ex voluntate viri ex deo ira	Gospel Lections	Gospel of John	no_level3
33	tu sunt et verbum sarotactum	Gospel Lections	Gospel of John	no_level3
34	est et habitauit in vobis	Gospel Lections	Gospel of John	no_level3
35	et vidimus gloriam eius	Gospel Lections	Gospel of John	no_level3
36	gloria quasi unigeniti a	Gospel Lections	Gospel of John	no_level3
37	patre pient gratie deum	Gospel Lections	Gospel of John	no_level3
38	tatis deo gratias eorum	Gospel Lections	Gospel of John	no_level3
39	evangelicta dicta deleatur	Gospel Lections	Gospel of John	no_level3
40	noltra deucta aδ sit nomen	Gospel Lections	Gospel of John	no_level3
41	domini benedictum exhoc nunc	Gospel Lections	Gospel of John	no_level3
42	et usque in seculum precem eorum	Gospel Lections	Gospel of John	no_level3
43	rotector interper	Gospel Lections	Gospel of John	no_level3
44	tui deus sumequi	Gospel Lections	Gospel of John	no_level3
45	nichil est validus luchil	Gospel Lections	Gospel of John	no_level3
46	sanctum multiplicta super nobis	Gospel Lections	Gospel of John	no_level3
47	misericordiam tuam ut ce rec	Gospel Lections	Gospel of John	no_level3
48	torté duce sicut transeam	Gospel Lections	Gospel of John	no_level3
