line_number	line	class_level1	class_level12	class_level123
1	omne l abia mea aperi	Hours of the Virgin	Hours of the Virgin_Matins	Hours of the Virgin_Matins_Invocation
2	es et os meum anni	Hours of the Virgin	Hours of the Virgin_Matins	Hours of the Virgin_Matins_Invocation
3	ciabitur laudem tuam	Hours of the Virgin	Hours of the Virgin_Matins	Hours of the Virgin_Matins_Invocation
4	meum intende	Hours of the Virgin	Hours of the Virgin_Matins	Hours of the Virgin_Matins_Invocation
5	dierum me festina	Hours of the Virgin	Hours of the Virgin_Matins	Hours of the Virgin_Matins_Invocation
6	et spiritui sancto sicut erat in princi	Hours of the Virgin	Hours of the Virgin_Matins	Hours of the Virgin_Matins_Invocation
7	pio et minc et semper et in secula secum	Hours of the Virgin	Hours of the Virgin_Matins	Hours of the Virgin_Matins_Invocation
8	lorum amen assam iniquitator lue maria	Hours of the Virgin	Hours of the Virgin_Matins	Hours of the Virgin_Matins_Invitatory
9	gracia plena dominus tecum aue maria psalmus	Hours of the Virgin	Hours of the Virgin_Matins	Hours of the Virgin_Matins_Invitatory
10	enite exultemus domino iubile	Hours of the Virgin	Hours of the Virgin_Matins	Hours of the Virgin_Matins_Invitatory
11	mis deo salutari nostro preoccupe	Hours of the Virgin	Hours of the Virgin_Matins	Hours of the Virgin_Matins_Invitatory
12	mus faciem eius in confessione et in	Hours of the Virgin	Hours of the Virgin_Matins	Hours of the Virgin_Matins_Invitatory
13	psalmis iubilemus ei aue maria gra	Hours of the Virgin	Hours of the Virgin_Matins	Hours of the Virgin_Matins_Invitatory
14	quoniam deus magnus dominus	Hours of the Virgin	Hours of the Virgin_Matins	Hours of the Virgin_Matins_Invitatory
15	et rex magnus super omnes deos quoniam	Hours of the Virgin	Hours of the Virgin_Matins	Hours of the Virgin_Matins_Invitatory
16	non repellet dominus plebem suam	Hours of the Virgin	Hours of the Virgin_Matins	Hours of the Virgin_Matins_Invitatory
17	quia in manu eius sunt omnes fines	Hours of the Virgin	Hours of the Virgin_Matins	Hours of the Virgin_Matins_Invitatory
18	terre et altitudines montium ipse con	Hours of the Virgin	Hours of the Virgin_Matins	Hours of the Virgin_Matins_Invitatory
