line_number	line	class_level1	class_level12	class_level123
1	in principio erat inver	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
2	bum et uerbum etat	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
3	apud deu et deus erat	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
4	verbum hoc exat in principi	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
5	o capud deum omnia per	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
6	notum facta sunt et me ipso	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
7	factum est nichil quod fac	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
8	tum est in ipso vita estoit et	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
9	vita etat luxi hominum et	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
10	lux in tenebris lucet et te	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
11	nestre cain non comprehen	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
12	decant iluti homino missi et	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
13	deo tui nomen exc johanes	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
14	hic verement in testimoni ut	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
15	testimonium perhiberet de	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
16	lumen vint ommes ce decet	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
17	per illum non excit il le lux	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
18	seducant testimoni perhiberet	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
19	de lummee eat sux vexa	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
20	que il lummat omnes hominem	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
21	veniente in hunc nonundum	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
22	in mundo exat et midus	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
23	pet ipsum factus est et mis	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
24	propria venit et sui eum neque	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
25	dus eum non cognouit in	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
26	receperunt quotquot cui	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
27	tem receperunt eum dedit	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
28	eius potestatem filios de j facie	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
29	re his qui credunt in nomine	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
30	eius qui non ex sangum	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
31	bus neque ex voluntate car	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
32	mensis neque ex voluntate viri	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
33	ed ex deo nati sunt et vet	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
34	bum caro factum est et hac	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
35	bitavit in nobis et vidimus	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
36	gloriam eius in confessoria quasi	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
37	unigenitié a placitre parlemum	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
38	gracias et veritatis deo	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
39	gracias c invocamus te	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
40	ador annis te laudannis te glo	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
41	rificamus obe a ta trinitas tur	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
42	sit nomen domini benedictum ex	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
43	hoc munc et usque in seculum	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
44	protector in te speranti	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
45	um deus me quo in	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
46	chil est validum nichil sanc	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
47	tum multiplica super nos	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
48	manum tuam ut te cectore te	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
49	duce sicut transecannis per bour	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
50	n a temporalia vert non anni	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
51	tammis eterna per xv psalmus do	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
52	monum nostrum immi vin	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
53	illum tuum qui te tu vivit	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
54	et regnas deus et hec omnia	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
55	secu sa setusorum amen	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
56	equenta cantto conviv agens	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
57	etundum reucam	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
58	ponscitain viro cui nomen	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
59	erat ioseph de domo dauid et	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
60	nomen virgmins maria et	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
61	ingressus angelus ad eam	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
62	droit anc capra plenci dons te	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
63	cum benedictatu mulieri	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
64	beneurs que cum audisset tur	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
65	bata est in sermonem eius et	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
66	cogitabant qualiter cesset ista sa	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
67	salutatio et avoit changelus et	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
68	in il son temps	Gospel Lections	Gospel Lections_Gospel of Luke	Gospel Lections_Gospel of Luke_no_level3
69	por ce carnis	Gospel Lections	Gospel Lections_Gospel of Luke	Gospel Lections_Gospel of Luke_no_level3
70	quia cinges	Gospel Lections	Gospel Lections_Gospel of Luke	Gospel Lections_Gospel of Luke_no_level3
71	gabriel a deo in	Gospel Lections	Gospel Lections_Gospel of Luke	Gospel Lections_Gospel of Luke_no_level3
72	civitatem cognati	Gospel Lections	Gospel Lections_Gospel of Luke	Gospel Lections_Gospel of Luke_no_level3
73	ilee tui nonies	Gospel Lections	Gospel Lections_Gospel of Luke	Gospel Lections_Gospel of Luke_no_level3
74	anazareth ad	Gospel Lections	Gospel Lections_Gospel of Luke	Gospel Lections_Gospel of Luke_no_level3
75	virginem despo	Gospel Lections	Gospel Lections_Gospel of Luke	Gospel Lections_Gospel of Luke_no_level3
76	r timeas incerici mienisti	Gospel Lections	Gospel Lections_Gospel of Luke	Gospel Lections_Gospel of Luke_no_level3
77	cum canticum apud deum	Gospel Lections	Gospel Lections_Gospel of Luke	Gospel Lections_Gospel of Luke_no_level3
78	ecce concipies in utero et pane	Gospel Lections	Gospel Lections_Gospel of Luke	Gospel Lections_Gospel of Luke_no_level3
79	riés colum et invocabis nonne	Gospel Lections	Gospel Lections_Gospel of Luke	Gospel Lections_Gospel of Luke_no_level3
80	eius in hic erit magnis et	Gospel Lections	Gospel Lections_Gospel of Luke	Gospel Lections_Gospel of Luke_no_level3
81	plus cultasmi vocabuntur ex	Gospel Lections	Gospel Lections_Gospel of Luke	Gospel Lections_Gospel of Luke_no_level3
82	et deabit il li dominus deus se	Gospel Lections	Gospel Lections_Gospel of Luke	Gospel Lections_Gospel of Luke_no_level3
83	dem deaud patris eius et regna	Gospel Lections	Gospel Lections_Gospel of Luke	Gospel Lections_Gospel of Luke_no_level3
84	bit in domino et cacob me ternum	Gospel Lections	Gospel Lections_Gospel of Luke	Gospel Lections_Gospel of Luke_no_level3
85	et ce signi eius non ext fons	Gospel Lections	Gospel Lections_Gospel of Luke	Gospel Lections_Gospel of Luke_no_level3
86	divit autem incaria ad can	Gospel Lections	Gospel Lections_Gospel of Luke	Gospel Lections_Gospel of Luke_no_level3
