line_number	line	class_level1	class_level12	class_level123
1	johanne gloriam tibi domine	Gospel Lections	Gospel Lections_no_level2	Gospel Lections_no_level2_no_level3
2	non principio erat	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
3	uerbum et uer	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
4	bum erat apud	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
5	praevium et deus eras	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
6	verbum ut erat in principio	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
7	apud deum eiusima per ipsum	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
8	tacta sunt et sine ipotactum	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
9	est nichil quod tactum est in	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
10	ipso vita erat et uita erat luxi	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
11	hon et lux in tenebris lucet	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
12	et tenebre eum non conprehe	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
13	bellant constit homo missus a	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
14	deo cui nomen erat johanes	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
15	dic uenit in testimonium	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
16	uant testimonium perhiberet de	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
17	lumine ut omnes crederent per	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
18	illum non erat ille lux sed ut	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
19	testimonium perhiberet de lumine	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
20	erat lux uera que illuminat	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
21	omnem hominem novemen	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
22	tem in hunc mundum in	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
23	mundo erat et mundus per	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
24	ipsum factus est et mundus eum	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
25	non cognouit in propria be	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
26	nit et sui eum non receperunt	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
27	quotquot autem receperunt	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
28	beatiere hiis qui credunt in	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
29	eum dedit eis potestatem filios	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
30	nomine eius qui non ex	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
31	sanguinibus neque ex volup	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
32	tate carnis neque ex uoluntate	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
33	viri sed ex deo nati sunt et	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
34	uerbum saro factum est et	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
35	habitauit in nobis et iudi	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
36	mus gloriam eius gloria	Gospel Lections	Gospel Lections_Gospel of John	Gospel Lections_Gospel of John_no_level3
